code	url	creator	created_t	created_datetime	last_modified_t	last_modified_datetime	product_name	generic_name	quantity	packaging	packaging_tags	packaging_text	brands	brands_tags	categories	categories_tags	categories_fr	origins	origins_tags	origins_fr	manufacturing_places	manufacturing_places_tags	labels	labels_tags	labels_fr	emb_codes	emb_codes_tags	first_packaging_code_geo	cities	cities_tags	purchase_places	stores	countries	countries_tags	countries_fr	ingredients_text	allergens	allergens_fr	traces	traces_tags	traces_fr	serving_size	serving_quantity	no_nutriments	additives_n	additives	additives_tags	additives_fr	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	states_tags	states_fr	brand_owner	main_category	main_category_fr	image_url	image_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	butyric-acid_100g	caproic-acid_100g	caprylic-acid_100g	capric-acid_100g	lauric-acid_100g	myristic-acid_100g	palmitic-acid_100g	stearic-acid_100g	arachidic-acid_100g	behenic-acid_100g	lignoceric-acid_100g	cerotic-acid_100g	montanic-acid_100g	melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	alpha-linolenic-acid_100g	eicosapentaenoic-acid_100g	docosahexaenoic-acid_100g	omega-6-fat_100g	linoleic-acid_100g	arachidonic-acid_100g	gamma-linolenic-acid_100g	dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	oleic-acid_100g	elaidic-acid_100g	gondoic-acid_100g	mead-acid_100g	erucic-acid_100g	nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	sucrose_100g	glucose_100g	fructose_100g	lactose_100g	maltose_100g	maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	soluble-fiber_100g	insoluble-fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0075070108932	http://world-fr.openfoodfacts.org/produit/0075070108932/probiotic-chocolate-bar-attune	usda-ndb-import	1489095222	2017-03-09T21:33:42Z	1587594230	2020-04-22T22:23:50Z	Probiotic Chocolate Bar						Attune	attune	Snacks, Sweet snacks, Confectioneries, Chocolate candies	en:snacks,en:sweet-snacks,en:confectioneries,en:chocolate-candies	Snacks,Snacks sucrés,Confiseries,Confiseries chocolatées																United States	en:united-states	États-Unis	Dark chocolate (**chocolate liquor, sugar, **cocoa calcium carbonate, soy lecithin, vanilla extract), bacillus coagulans gbi-30 6086.						0.5 BAR (42 g)	42		1		en:e322,en:e322i	E322 - Lécithines,E322i - Lécithine	0			0			13	d	3	Sugary snacks	Sweets	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	Attune Foods, LLC	en:chocolate-candies	Confiseries chocolatées								452	1891		40.48	23.81																																	0	0	45.24	16.67									14.3			9.52				0.03	0.012		0					0														1.071		0.01286																					13								
2000000914855	http://world-fr.openfoodfacts.org/produit/2000000914855/jus-d-orange	kiliweb	1537372382	2018-09-19T15:53:02Z	1582740927	2020-02-26T18:15:27Z	Jus d'orange								Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Jus et nectars, Boissons aux fruits, Jus de fruits, Jus d'orange	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:orange-juices	Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons aux fruits,Jus et nectars,Jus de fruits,Jus d'orange						en:no-colorings	en:no-colorings	Sans colorants								France	en:france	France																							Beverages	Fruit juices	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	À compléter,Informations nutritionnelles à compléter,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées		en:orange-juices	Jus d'orange	https://static.openfoodfacts.org/images/products/200/000/091/4855/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/200/000/091/4855/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/200/000/091/4855/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/200/000/091/4855/ingredients_fr.7.200.jpg																																																																																																																	
0041497121823	http://world-fr.openfoodfacts.org/produit/0041497121823/crunchy-peanut-butter-weis	usda-ndb-import	1489060246	2017-03-09T11:50:46Z	1587576656	2020-04-22T17:30:56Z	Crunchy Peanut Butter						Weis	weis	Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Fats, Nuts and their products, Plant-based spreads, Vegetable fats, Oilseed purees, Nut butters, Legume butters, Peanut butters	en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:fats,en:nuts-and-their-products,en:plant-based-spreads,en:vegetable-fats,en:oilseed-purees,en:nut-butters,en:legume-butters,en:peanut-butters	Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Produits à tartiner,Matières grasses,Fruits à coques et dérivés,Pâtes à tartiner végétales,Matières grasses végétales,Purées d'oléagineux,Beurres de fruits à coques,Beurres de légumineuses,Beurres de cacahuètes																United States	en:united-states	États-Unis	Roasted peanuts, sugar, contains less than 2% of fully hydrogenated vegetable oils (rapeseed, cottonseed, soybean), salt, molasses.	en:soybeans					2 Tbsp (32 g)	32		0				0			0			10	c	2	Fat and sauces	Fats	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	Weis Markets, Inc.	en:peanut-butters	Beurres de cacahuètes								625	2615		50	10.94																																	0	0	21.88	9.38									6.2			25				1.015	0.406		0					0														0		0.00225																					10								
0851916003049	http://world-fr.openfoodfacts.org/produit/0851916003049/fresh-mint-leaf-ice-cream-with-brown-sugar-dark-chocolate-chips-dirty-mint-chip-coolhaus	usda-ndb-import	1489136902	2017-03-10T09:08:22Z	1587628922	2020-04-23T08:02:02Z	Fresh mint leaf ice cream with brown sugar & dark chocolate chips, dirty mint chip						Coolhaus	coolhaus	Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams	Desserts,Surgelés,Desserts glacés,Glaces et sorbets,Glaces																United States	en:united-states	États-Unis	Milk, cream, non fat milk, organic cane sugar, fresh mint leaves, dark brown sugar, organic chocolate chips (sugar, chocolate liquor, cocoa butter, vanilla), salt, guar gum, carob bean gum, acacia gum.						120 g (120 g)	120		3		en:e410,en:e412,en:e414	E410 - Gomme de caroube,E412 - Gomme de guar,E414 - Gomme d'acacia	0			0			11	d	4	Milk and dairy products	Ice cream	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	COOLHAUS	en:ice-creams	Glaces								217	908		9.17	5.83																																	0	0.025	29.17	25									1.7			3.33				0.14	0.056		0.0001668					0												0.157		0.1		0																					11								
0041820808537	http://world-fr.openfoodfacts.org/produit/0041820808537/great-american-condensed-soup-cream-of-mushroom-bay-valley-foods-llc	usda-ndb-import	1489071097	2017-03-09T14:51:37Z	1587584602	2020-04-22T19:43:22Z	Great American, Condensed Soup, Cream Of Mushroom						Bay Valley Foods  Llc	bay-valley-foods-llc	Canned foods, Meals, Soups, Canned meals, Canned soups	en:canned-foods,en:meals,en:soups,en:canned-meals,en:canned-soups	Conserves,Plats préparés,Soupes,Plats préparés en conserve,Soupes en conserve																United States	en:united-states	États-Unis	Water, mushrooms, wheat flour, soybean oil, contains less than 2% of the following: salt, cream, monosodium glutamate, whey powder (milk), soy protein concentrate, modified corn starch, autolyzed yeast extract, disodium phosphate, maltodextrin, spice, garlic powder, natural flavor (contains milk), dried mushrooms, partially hydrogenated soybean and cottonseed oils.						0.5 cup (123 g)	123		2		en:e339ii,en:e621	E339ii - Phosphate disodique,E621 - Glutamate monosodique	0			0			8	c	4	Composite foods	One-dish meals	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	Bay Valley Foods, LLC	en:canned-soups	Soupes en conserve								81	339		5.69	0.81																																	0	0.004	7.32	0.81									0			0.81				1.7875	0.715		0					0														0		0.00059																					8								
0074641019783	http://world-fr.openfoodfacts.org/produit/0074641019783/pink-lady-apple-apple-slices-country-fresh	usda-ndb-import	1489136892	2017-03-10T09:08:12Z	1587628908	2020-04-23T08:01:48Z	Pink Lady Apple Apple Slices						Country Fresh	country-fresh	Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods	Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes																United States	en:united-states	États-Unis	Apples with calcium ascorbate to promote whiteness and maintain texture.						12 SLICES (140 g)	140		0				0			0			0	b		unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	Country Fresh Inc.	en:fruits-and-vegetables-based-foods	Aliments à base de fruits et de légumes								50	209		0	0																																	0	0	13.57	10.71									2.1			0				0	0		0.0000213					0.1329												0.107		0.043		0.00026																					0								
0082666500308	http://world-fr.openfoodfacts.org/produit/0082666500308/popped-chip-snack-made-with-sweet-potato	org-database-usda	1587655485	2020-04-23T15:24:45Z	1587655486	2020-04-23T15:24:46Z	Popped chip snack made with sweet potato								Snacks	en:snacks	Snacks																United States	en:united-states	États-Unis	Rice flour, dried sweet potato, sunflower and/or safflower oil, tapioca starch, seasoning (sugar, sea salt, rice flour, cane sugar, maltodextrin, sweet potato powder, natural flavor, citric acid), organic yellow corn flour, annatto (color).						1 ONZ (28 g)	28		2		en:e160b,en:e330	E160b - Rocou,E330 - Acide citrique	0			0			8	c	4	unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	Sonora Mills Foods, Inc.	en:snacks	Snacks								429	1795		14.29	0															10.71	1.79																	0	0	67.86	10.71									0			3.57				0.8925	0.357																			0.161		0.011		0																					8								
2008155000003	http://world-fr.openfoodfacts.org/produit/2008155000003/eclairs-assortis	kiliweb	1587146677	2020-04-17T18:04:37Z	1587146679	2020-04-17T18:04:39Z	Éclairs assortis																										en:fr	en:france	France																							unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients à compléter,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à valider,Photos envoyées				https://static.openfoodfacts.org/images/products/200/815/500/0003/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/200/815/500/0003/front_fr.3.200.jpg			https://static.openfoodfacts.org/images/products/200/815/500/0003/nutrition_fr.5.400.jpg	https://static.openfoodfacts.org/images/products/200/815/500/0003/nutrition_fr.5.200.jpg		206	862		6.1	3.5																																			35	26												2.3				0.49	0.196																																																				
0857297005078	http://world-fr.openfoodfacts.org/produit/0857297005078/premium-salad-dressing	org-database-usda	1587647288	2020-04-23T13:08:08Z	1587647289	2020-04-23T13:08:09Z	Premium salad dressing								Groceries, Sauces	en:groceries,en:sauces	Epicerie,Sauces																United States	en:united-states	États-Unis	Rice vinegar, water, grapeseed oil, cane sugar, soy sauce (water, soybeans, salt, alcohol [to preserve freshness]), sesame oil, sesame seeds, dried garlic, dried ginger, xanthan gum.	en:sesame-seeds,en:soybeans					1 PACKET (28 g)	28		1		en:e415	E415 - Gomme xanthane	0			0			11	d	4	Fat and sauces	Dressings and sauces	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	HAK'S	en:sauces	Sauces								250	1046		21.43	1.79															3.57	12.5																	0	0	14.29	14.29									0			0				1.0275	0.411		0					0														0		0																					11								
0072244108361	http://world-fr.openfoodfacts.org/produit/0072244108361/pop-crazy-west-bend-gourmet-popcorn-kernel-west-bend-housewares-llc	usda-ndb-import	1489074494	2017-03-09T15:48:14Z	1587586957	2020-04-22T20:22:37Z	Pop Crazy, West Bend, Gourmet Popcorn Kernel						West Bend Housewares Llc	west-bend-housewares-llc	Snacks	en:snacks	Snacks																United States	en:united-states	États-Unis	Popping corn kernels.						3 Tbsp (40 g)	40		0				0			0			-6	a		unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	À compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Code emballeur à compléter,Caractéristiques à compléter,Catégories complétées,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer	West Bend Housewares LLC	en:snacks	Snacks								375	1569		3.75	0																																	0		72.5	0									12.5			10				0	0																							0.0027																					-6								
